workstream,component,hook,pre_registered_bar,measurement,verdict,reconstruction,evidence_csv,caveat
Arjun,Duration hedge (long TLT),external_legs,§19.4 slot rule: improve MaxDD or CVaR99 in >=4 of 6 pre-2026 stress windows AND cost <0.05 net Sharpe AND survive leave-one-out,"standalone net 0.5145 vs bar 0.4659 (+0.0485); add-one-in 4/6 windows, leave-one-out 4/6",ADOPTED,"re-priced, not rebuilt: TLT return from his committed duration_hedge_series.csv; hedge ratio re-estimated on THIS base's net book with his estimator (expanding 504d, lagged); cost_bps backed out of his own gross-vs-net series (0.678bp, reproduces his net to 1.1e-15)",p4_component_standalone.csv; p4_combined_ladder.csv,"Re-priced, not rebuilt. NW alpha vs the preceding rung is +0.74%/yr at t=1.16 — not significant. The leg costs 0.02bp/yr priced honestly; the 3.8e-5 gross-vs-net gap in his own file was slow beta drift, not an unpriced hedge"
Theo,Bad-skew exclusion (XS top quintile),weight_overlay,"§19.4 slot rule: improve MaxDD or CVaR99 in >=4 of 6 pre-2026 stress windows AND cost <0.05 net Sharpe AND survive leave-one-out; measured against per-currency RR book, net Sharpe 0.4559",standalone net 0.4360 vs bar 0.4559 (-0.0199); 6/6 windows,ADOPTED,"re-priced, not rebuilt: his committed bad_skew25_1m panel with his cross-sectional p80 rule, applied as a post-sizing trim rather than a pre-sort exclusion. NOTE his signal is bit-identical to fx.vol_surface_panel('RR')",p4_component_standalone.csv; p4_combined_ladder.csv; p4_selection_vs_derisking.csv,"MOSTLY DE-RISKING, NOT SELECTION (guardrail §6.12): of the 7.3pp drawdown improvement, 6.8pp is holding less notional and 0.5pp is the signal. Selection alpha 1.25%/yr at t=0.92 — insignificant. What selection DOES buy is skew, -0.63 -> -0.31 against the gross-matched control (baseline itself is -0.65), which de-risking does not deliver at all. The combined book also runs at 8.8% vol, not 10%, so part of its MaxDD is a lower risk level"
Theo,Option-conditioned carry strategy (2026-08-05),(never attached),§19.4 slot rule: improve MaxDD or CVaR99 in >=4 of 6 pre-2026 stress windows AND cost <0.05 net Sharpe AND survive leave-one-out,NOT MEASURED — no return series exists to re-price,NOT EVALUABLE AS COMMITTED,"Impossible from committed data. Commit ec535c6 (2026-08-05) added 07_option_conditioned_carry_strategy.ipynb and theo/06_options_filter_regression(9).ipynb — notebooks only, no data. Notebook 07 is committed UNEXECUTED (14 code cells, 0 execution counts, 0 stored outputs) and its declared input option_filter_regression_panel_primary_v9.parquet exists nowhere on disk or in git, so cell 3 raises FileNotFoundError. It is a specification, not a result",(none — that is the gap),"TO CLOSE: run theo/06_options_filter_regression(9).ipynb and commit the _v9 panel; notebook 07 then produces a return series that re-prices through the same weight_overlay path as everything else. His ADOPTED overlay is unaffected — it keys off fx_option_signal_panel.parquet from commit 9d2ec5e, committed and unchanged since 2026-07-18"
Dafu,VIX percentile gate (p80 / 756d),exposure,"§19.4 slot rule: improve MaxDD or CVaR99 in >=4 of 6 pre-2026 stress windows AND cost <0.05 net Sharpe AND survive leave-one-out || §19.3 tail objective: <=0.02 net Sharpe cost AND >=1.0pp MaxDD or >=5% relative CVaR99, demonstrated per episode","standalone net 0.4653 vs 0.4659 (-0.0007), 4/6 windows vs baseline; on the ladder: add-one-in 3/6 FAIL, leave-one-out on the 4-stack 3/6 FAIL, leave-one-out on the proposed stack 4/6 PASS",REJECTED (contested — see VERDICTS.md),"exact: dafu/regime_lab.py defines it as one fx.exposure_scalar call on shared data/raw, so no file is needed; reproduces his committed headline to 5dp",p4_combined_ladder.csv; p4_reverdict_tail_objective.csv; p4_component_standalone.csv,"THE ONE GENUINELY CONTESTED VERDICT. The tail objective accepts it (-0.0007 Sharpe for +4.82pp MaxDD); the slot rule rejects it on criterion (i) measured add-one-in. Rejecting costs 0.043 net Sharpe and 5.4% relative CVaR99. Whole-sample MaxDD cannot see this gate at all — the combined book's drawdown episode is 2013-05-17..2013-12-05 and the gate is fully invested on all 145 days of it. Runnable as run('COMBINED_TAIL'). Dafu is the ONLY teammate who ported onto the base, and his is the component dropped"
Dafu,Option insurance overlay (premium-paying hedge),weight_overlay (proxy only),§19.4 slot rule: improve MaxDD or CVaR99 in >=4 of 6 pre-2026 stress windows AND cost <0.05 net Sharpe AND survive leave-one-out,NOT MEASURED — cannot be costed,BLOCKED ON DATA,"data/raw carries option MIDS ONLY, no bid/ask, so a premium-paying hedge cannot be honestly costed. A position-trimming proxy is the defensible version and is what the adopted skew overlay does",(none — DATA_SHOPPING_LIST.md §2.2 is the purchase request),Reported to the desk as a data request rather than as a free-premium Sharpe
Vidhi,Macro/regime probability gate,exposure,§19.4 slot rule: improve MaxDD or CVaR99 in >=4 of 6 pre-2026 stress windows AND cost <0.05 net Sharpe AND survive leave-one-out,standalone net 0.0964 vs 0.4659 (-0.3695); removing it from the stack is worth 0.332,REJECTED,"re-priced, not rebuilt: the gate recovered as probability_scaled / static from her committed monthly tracks (173 months from 2012-02, values in [0,1]). Only the gate transfers — her book omits the carry accrual",p4_component_standalone.csv; p4_combined_ladder.csv,"The single most destructive component tested. The diagnostic matters more than the number: its correlation with VIX is ~0 at every lead and lag, and it fails under BOTH possible lag conventions, so the verdict does not rest on a judgement call about a convention her outputs do not record. Her gate covers 173 months from 2012-02, so its euro_2011 window win rests on partial coverage (~11 of 24 months)"
Oleg,(no component submitted),—,§19.4 slot rule: improve MaxDD or CVaR99 in >=4 of 6 pre-2026 stress windows AND cost <0.05 net Sharpe AND survive leave-one-out,NEVER MEASURED — no committed output to re-price,NEVER TESTED,"Impossible. oleg/ holds four files (~140 KB): 'oleg/ v1/carry_backtest.ipynb', 'oleg/ v1/carry_utils.py', requirements.txt, and a 0-byte v2/utils.py. There is no outputs/ directory and zero to_csv/to_parquet calls anywhere in the notebook. A G10 book exists as executed cell output (2007-02-01..2026-06-30, gross Sharpe 0.2109, MaxDD -31.4%) but was never persisted, and carry_utils.RAW_DIR resolves to oleg/data/raw, which does not exist",(none — that is the gap),"TO CLOSE: one committed daily net return series on the common window makes it re-priceable through the same path every other component went through. This is a named gap, not silence"
Cesare,"Tail-event forecast (P4-B, the desk's central ask)",exposure,"run() net Sharpe 0.4659; per-currency RR book, net Sharpe 0.4559; beat the VIX gate; §19.3 tail objective: <=0.02 net Sharpe cost AND >=1.0pp MaxDD or >=5% relative CVaR99, demonstrated per episode",net 0.4179 vs baseline 0.4659; continuous mapping 0.2974; mean OOS AUC 0.4685,REJECTED — null on all three bars,"built here (cesare/tail_forecast.py), purged walk-forward CV",p4_tail_forecast_eval.csv; p4_tail_overlay_stats.csv; p4_tail_overlay_by_episode.csv,"The AUC denominator is 6, not 13: 7 of 13 purged folds contain no tail month at all, so AUC is undefined in them. With ~23 tail months in nineteen years this question may not be answerable at monthly frequency. The model was not iterated — one L2 strength, one pre-registered mapping"
Cesare,D1 — crash-risk-premium-adjusted carry (option skew),signal,"run() net Sharpe 0.4659; per-currency RR book, net Sharpe 0.4559",best skew variant net 0.1474 vs matched carry 0.4962 on the 21-name panel,NULL RESULT,built here; rerun 2026-08-04 on model-free BKM skewness — null survives,skew_carry_comparison.csv; srp_carry_spanning.csv; p3_d1_bkm_comparison.csv; p3_d1_bkm_spanning.csv,"Li-Sarno-Zinna's single-source claim that the skewness risk premium SUBSUMES carry is falsified on this panel — carry subsumes SRP, not the reverse. Note p3_d1_bkm_spanning.csv stores alpha_ann as a DECIMAL while p3_d2_spanning.csv stores it as a PERCENT: combining them is a 100x error"
Cesare,D3 — cross-currency basis / dollar-funding carry,signal + conditioner,run() net Sharpe 0.4659,basis book net -0.1256 vs matched carry -0.3172 on the 7-name universe,NULL RESULT,built here,basis_carry_comparison.csv; basis_carry_spanning.csv,"NOT ON THE COMMON WINDOW. This battery runs 2007-05-01..2024-09-30 (4545 days, not 5001) on the 7-name onshore-fixing universe, where the carry ANCHOR ITSELF is negative (-0.3172). Window, universe and anchor all differ from the shared base. The null stands — a signal that cannot beat a negative anchor is not rescued by a better one — but 'tested on the shared base' is not what this file shows"
